idf.kw,epw.id,energy.elec.GJ,energy.gas.GJ,prototype.m2,elec.GJ.per.m2,gas.GJ.per.m2,building.type,vintage,idf.name
FullServiceRestaurant-90_1-2013-ASHRAE 169-2013-3B,23,860.6075226255086,1193.4000304652095,511.15,1.6836692216091336,2.334735460168658,large restaurant,after 2008 (2013),FullServiceRestaurant-90.1-2013-ASHRAE 169-2013-3B.idf
FullServiceRestaurant-90_1-2013-ASHRAE 169-2013-3B,23,860.6075226255086,1193.4000304652095,511.15,1.6836692216091336,2.334735460168658,small restaurant,after 2008 (2013),FullServiceRestaurant-90.1-2013-ASHRAE 169-2013-3B.idf
FullServiceRestaurant-90_1-2013-ASHRAE 169-2013-3B,24,869.830029110814,1193.397836305445,511.15,1.7017118832256952,2.3347311675739904,large restaurant,after 2008 (2013),FullServiceRestaurant-90.1-2013-ASHRAE 169-2013-3B.idf
FullServiceRestaurant-90_1-2013-ASHRAE 169-2013-3B,24,869.830029110814,1193.397836305445,511.15,1.7017118832256952,2.3347311675739904,small restaurant,after 2008 (2013),FullServiceRestaurant-90.1-2013-ASHRAE 169-2013-3B.idf
FullServiceRestaurant-90_1-2013-ASHRAE 169-2013-3B,35,863.2118185172411,1193.3985134327231,511.15,1.6887641954753814,2.3347324922874364,large restaurant,after 2008 (2013),FullServiceRestaurant-90.1-2013-ASHRAE 169-2013-3B.idf
FullServiceRestaurant-90_1-2013-ASHRAE 169-2013-3B,35,863.2118185172411,1193.3985134327231,511.15,1.6887641954753814,2.3347324922874364,small restaurant,after 2008 (2013),FullServiceRestaurant-90.1-2013-ASHRAE 169-2013-3B.idf
FullServiceRestaurant-90_1-2013-ASHRAE 169-2013-3B,36,862.8593946983361,1193.3983667072089,511.15,1.688074723072163,2.334732205237619,large restaurant,after 2008 (2013),FullServiceRestaurant-90.1-2013-ASHRAE 169-2013-3B.idf
FullServiceRestaurant-90_1-2013-ASHRAE 169-2013-3B,36,862.8593946983361,1193.3983667072089,511.15,1.688074723072163,2.334732205237619,small restaurant,after 2008 (2013),FullServiceRestaurant-90.1-2013-ASHRAE 169-2013-3B.idf
FullServiceRestaurant-90_1-2013-ASHRAE 169-2013-3B,37,864.8472100735652,1193.4061900374825,511.15,1.691963631171995,2.334747510588834,large restaurant,after 2008 (2013),FullServiceRestaurant-90.1-2013-ASHRAE 169-2013-3B.idf
FullServiceRestaurant-90_1-2013-ASHRAE 169-2013-3B,37,864.8472100735652,1193.4061900374825,511.15,1.691963631171995,2.334747510588834,small restaurant,after 2008 (2013),FullServiceRestaurant-90.1-2013-ASHRAE 169-2013-3B.idf
FullServiceRestaurant-90_1-2013-ASHRAE 169-2013-3B,38,871.0199690298795,1193.40297024374,511.15,1.7040398494177433,2.3347412114716617,large restaurant,after 2008 (2013),FullServiceRestaurant-90.1-2013-ASHRAE 169-2013-3B.idf
FullServiceRestaurant-90_1-2013-ASHRAE 169-2013-3B,38,871.0199690298795,1193.40297024374,511.15,1.7040398494177433,2.3347412114716617,small restaurant,after 2008 (2013),FullServiceRestaurant-90.1-2013-ASHRAE 169-2013-3B.idf
FullServiceRestaurant-90_1-2013-ASHRAE 169-2013-3B,39,873.9264330464915,1193.4015619940367,511.15,1.7097259768101174,2.3347384564101277,large restaurant,after 2008 (2013),FullServiceRestaurant-90.1-2013-ASHRAE 169-2013-3B.idf
FullServiceRestaurant-90_1-2013-ASHRAE 169-2013-3B,39,873.9264330464915,1193.4015619940367,511.15,1.7097259768101174,2.3347384564101277,small restaurant,after 2008 (2013),FullServiceRestaurant-90.1-2013-ASHRAE 169-2013-3B.idf
FullServiceRestaurant-90_1-2013-ASHRAE 169-2013-3B,40,876.2336060361428,1193.3963565449708,511.15,1.7142396674873184,2.3347282726107226,large restaurant,after 2008 (2013),FullServiceRestaurant-90.1-2013-ASHRAE 169-2013-3B.idf
FullServiceRestaurant-90_1-2013-ASHRAE 169-2013-3B,40,876.2336060361428,1193.3963565449708,511.15,1.7142396674873184,2.3347282726107226,small restaurant,after 2008 (2013),FullServiceRestaurant-90.1-2013-ASHRAE 169-2013-3B.idf
FullServiceRestaurant-90_1-2013-ASHRAE 169-2013-3B,49,867.3648419589246,1193.3987239783887,511.15,1.6968890579260971,2.3347329041932676,large restaurant,after 2008 (2013),FullServiceRestaurant-90.1-2013-ASHRAE 169-2013-3B.idf
FullServiceRestaurant-90_1-2013-ASHRAE 169-2013-3B,49,867.3648419589246,1193.3987239783887,511.15,1.6968890579260971,2.3347329041932676,small restaurant,after 2008 (2013),FullServiceRestaurant-90.1-2013-ASHRAE 169-2013-3B.idf
FullServiceRestaurant-90_1-2013-ASHRAE 169-2013-3B,50,867.6193605890529,1193.398816141781,511.15,1.6973869912727242,2.3347330844992293,large restaurant,after 2008 (2013),FullServiceRestaurant-90.1-2013-ASHRAE 169-2013-3B.idf
FullServiceRestaurant-90_1-2013-ASHRAE 169-2013-3B,50,867.6193605890529,1193.398816141781,511.15,1.6973869912727242,2.3347330844992293,small restaurant,after 2008 (2013),FullServiceRestaurant-90.1-2013-ASHRAE 169-2013-3B.idf
FullServiceRestaurant-90_1-2013-ASHRAE 169-2013-3B,51,869.8320624137536,1193.4006578619833,511.15,1.7017158611244325,2.334736687590694,large restaurant,after 2008 (2013),FullServiceRestaurant-90.1-2013-ASHRAE 169-2013-3B.idf
FullServiceRestaurant-90_1-2013-ASHRAE 169-2013-3B,51,869.8320624137536,1193.4006578619833,511.15,1.7017158611244325,2.334736687590694,small restaurant,after 2008 (2013),FullServiceRestaurant-90.1-2013-ASHRAE 169-2013-3B.idf
FullServiceRestaurant-90_1-2013-ASHRAE 169-2013-3B,52,874.3545138599562,1193.3968308854694,511.15,1.7105634625060282,2.334729200597612,large restaurant,after 2008 (2013),FullServiceRestaurant-90.1-2013-ASHRAE 169-2013-3B.idf
FullServiceRestaurant-90_1-2013-ASHRAE 169-2013-3B,52,874.3545138599562,1193.3968308854694,511.15,1.7105634625060282,2.334729200597612,small restaurant,after 2008 (2013),FullServiceRestaurant-90.1-2013-ASHRAE 169-2013-3B.idf
FullServiceRestaurant-90_1-2013-ASHRAE 169-2013-3B,53,874.9168453970711,1193.3987360159467,511.15,1.7116635926774355,2.33473292774322,large restaurant,after 2008 (2013),FullServiceRestaurant-90.1-2013-ASHRAE 169-2013-3B.idf
FullServiceRestaurant-90_1-2013-ASHRAE 169-2013-3B,53,874.9168453970711,1193.3987360159467,511.15,1.7116635926774355,2.33473292774322,small restaurant,after 2008 (2013),FullServiceRestaurant-90.1-2013-ASHRAE 169-2013-3B.idf
FullServiceRestaurant-90_1-2013-ASHRAE 169-2013-3B,54,876.6149794651009,1193.3946099045888,511.15,1.7149857761226663,2.33472485553084,large restaurant,after 2008 (2013),FullServiceRestaurant-90.1-2013-ASHRAE 169-2013-3B.idf
FullServiceRestaurant-90_1-2013-ASHRAE 169-2013-3B,54,876.6149794651009,1193.3946099045888,511.15,1.7149857761226663,2.33472485553084,small restaurant,after 2008 (2013),FullServiceRestaurant-90.1-2013-ASHRAE 169-2013-3B.idf
FullServiceRestaurant-90_1-2013-ASHRAE 169-2013-3B,62,867.9606630669554,1193.4030177016848,511.15,1.6980547061859639,2.3347413043170984,large restaurant,after 2008 (2013),FullServiceRestaurant-90.1-2013-ASHRAE 169-2013-3B.idf
FullServiceRestaurant-90_1-2013-ASHRAE 169-2013-3B,62,867.9606630669554,1193.4030177016848,511.15,1.6980547061859639,2.3347413043170984,small restaurant,after 2008 (2013),FullServiceRestaurant-90.1-2013-ASHRAE 169-2013-3B.idf
FullServiceRestaurant-90_1-2013-ASHRAE 169-2013-3B,63,870.6481102758299,1193.397831452189,511.15,1.703312355034393,2.3347311580792116,large restaurant,after 2008 (2013),FullServiceRestaurant-90.1-2013-ASHRAE 169-2013-3B.idf
FullServiceRestaurant-90_1-2013-ASHRAE 169-2013-3B,63,870.6481102758299,1193.397831452189,511.15,1.703312355034393,2.3347311580792116,small restaurant,after 2008 (2013),FullServiceRestaurant-90.1-2013-ASHRAE 169-2013-3B.idf
